Id,Opportunity_Name,Current_Amount,JH_Original_ACV__c,ACV_Variance_Reason__c
006Wj00000MDigi,CAAS Stripe 2025/26,1223956.07,696000.0,Multi-Year Annualization
006Wj00000MDihr,ESB NSIC Project - 2 x ODLs (Annabel & Simon) - Oct - May 20,473355.25,241442.4,Rate Adjustment
006Wj00000MDisc,Udemy ODL Commercial Contracts Support,415401.57,139200.0,Bundle Allocation
006Wj00000MDisO,Tinder Commercial Contract ODL - Extension 1 - Donall O'Rior,228975.71,63892.8,Bundle Allocation
006Wj00000MDisG,TikTok DSAR Support ODL Extension 1 Tara Bannon,198879.74,111360.0,Rate Adjustment
006Wj00000MDii8,Gilead Sciences Mat Leave Cover,186511.13,187920.0,Rate Adjustment
006Wj00000MDigY,BOI F&P Sept 25 - March 26,180803.4,180803.4,No Variance
006Wj00000MDigL,Airbnb UK Claims Support,176062.62,35844.0,Term Difference
006Wj00000MDihy,Fabiane Arguello 2025 extension,170997.06,51040.0,Term Difference
006Wj00000MDiki,M&BH Extended order,170690.99,174000.0,Rate Adjustment
006Wj00000MDih9,CommScope Extension Conor Hassett,158201.4,74472.0,Term Difference
006Wj00000MDigB,ACS - Legacy Project,156452.86,98258.82,Rate Adjustment
006Wj00000MDil3,Northern Trust Contracts Support,145711.82,149640.0,Term Difference
006Wj00000LbDRm,Wellspring Philanthropic Fund - Design phase,145000.0,145000.0,No Variance
006Wj00000MDils,Privacy team expansion,132498.51,104400.0,Term Difference
006Wj00000MDilZ,Perrigo ODL - Commercial Contracts,127393.76,76560.0,Rate Adjustment
006Wj00000MDisf,Udemy - Second Commercial Contracts Consultant,118320.0,139200.0,Term Difference
006Wj00000MDilN,OpenAI Privacy expansion Consultant #1,104400.0,104400.0,No Variance
006Wj00000MDilO,OpenAI Privacy expansion Consultant #2,104400.0,104400.0,No Variance
006Wj00000MDigU,Aryza - ODL Secondment - 2 years,104079.87,226200.0,Multi-Year Annualization
006Wj00000MDjio,Orsted ODL Opp April,104079.87,69601.16,Term Difference
006Wj00000MDihR,Datalex ODL support Ronan Lupton Extension (12 months),102544.0,102544.0,No Variance
006Wj00000MDjht,Indeed ODL Steph Donald extension #1,102080.0,174000.0,Bundle Allocation
006Wj00000MDilr,Privacy team expansion,100000.0,104400.0,Term Difference
006Wj00000MDikU,Kingspan ODL Contracts Project,97085.7,8120.0,Term Difference
006Wj00000MDijK,Glanbia Secondment Extension (Eoin O'Cuilleanain Dec 2025 - ,90341.33,88044.0,Rate Adjustment
006Wj00000LbDRl,TikTok DSAR support ODL 2026,88115.62,111360.0,Term Difference
006Wj00000LbDRk,Sequoia Climate Fund - Design phase,87000.0,87000.0,No Variance
006Wj00000MDihC,Consensys DPO as a Service,79100.7,40402.8,Rate Adjustment
006Wj00000MDirn,Teamwork extension no.4 David Casey (June-Dec),70357.99,36748.8,Rate Adjustment
006Wj00000MDjhz,OpenAI Privacy team expansion - Himanshu Gaur,69600.0,104400.0,Term Difference
006Wj00000MDijS,Hayes MUT Discovery,69386.58,174000.0,Term Difference
006Wj00000MDirY,Sisk Ediscovery Tech Hosting,69386.58,58000.0,Rate Adjustment
006Wj00000LbDRh,Dropbox 2026 Extension Fabiane Arguello,66816.0,51040.0,Term Difference
006Wj00000MDjhs,Indeed ODL (Helen Hewson),52200.0,52200.0,No Variance
006Wj00000MDjhy,OpenAI privacy team expansion - additional consultant,52200.0,104400.0,Term Difference
006Wj00000MDigZ,BOI FSPO team expansion Consultant #1,48766.4,48766.4,No Variance
006Wj00000MDiht,Etsy Privacy Program Manager Sept 25,44959.86,84680.0,Term Difference
006Wj00000MDiga,BOI FSPO team expansion Consultant #2,41760.0,48766.4,Term Difference
006Wj00000MDilP,OpenAI - Privacy Team Expansion - Elizabeth Agbaje,41412.0,104400.0,Term Difference
006Wj00000MDilQ,OpenAI Privacy Team Expansion - Nerea Perez,41412.0,104400.0,Term Difference
006Wj00000MDigK,Airbnb Privacy Support - Replacement ODL - Erica Gomes,35844.0,116812.0,Term Difference
006Wj00000MDijb,ICON DSAR Tech Hosting & Review,9819.98,9819.98,No Variance
006Wj00000MDigS,Aramark Paralegal Support,8700.0,8700.0,No Variance
006Wj00000MDirj,Taoglas ODL Brendan Gildea additional hours,5800.0,5800.0,No Variance
006Wj00000MDihP,Datalex Extension RL 2024 (2),2368.51,102544.0,Term Difference
006Wj00000MDilK,OpenAI AW expansion,0.0,104400.0,Term Difference
